IMSI,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12
79777158508dcff52f2906239e710611,Ascend P7-L00,Ascend P7-L00,Ascend P7-L00,Ascend P7-L00,Ascend P7-L00,Ascend P7-L00,Ascend P7-L00,Ascend P7-L00,HUAWEI P7-L00,HUAWEI P7-L00,HUAWEI P7-L00,HUAWEI P7-L00
c5834f346d8c7dde0eb9272bf93a93d9,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,HUAWEI G610-C00,HUAWEI G610-C00,HUAWEI G610-C00,HUAWEI G610-C00
ef0500d7002ac4648941b4971e1e086c,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,HUAWEI MT7-UL00,HUAWEI MT7-UL00,HUAWEI MT7-UL00,HUAWEI MT7-UL00
0229f3d2e49c85aa25f64e7d3ecd822b,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10
c3761d5e2c53c95f7673f79204ea6d9f,Honor 3C 4G,Honor 3C 4G,Honor 3C 4G,R6007,R6007,R6007,R6007,R6007,OPPO R6007,OPPO R6007,OPPO R6007,OPPO R6007
2ea905c375bc4ce783177822d915ba3b,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
44337cc375b0ffbb8381d6110979fcbe,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Honor 4X,Honor 4X,Honor 4X,Honor 4X,Che1-CL20,Che1-CL20,Che1-CL20,Che1-CL20
7564ac7545b9158a35b13da04f2a7263,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10,Hol-U10
51e155e63cb255a89ae93953608c6601,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02
adceb2f03311bd329bc0fddf17bbcc2b,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,H30-T00,H30-T00,H30-T00,H30-T00
4f1c9197a48fb58a8a5ae54374d7158b,E5730Ws-1,GT-I9250,GT-I9250,GT-I9250,E5730Ws-1,E5730Ws-1,GT-I9250,GT-I9250,Nokia 1110,GT-I9250,GT-I9250,GT-I9250
90ff1eb841df4a6ee53488aae1f7379b,G520-0000,R827T,R827T,R827T,R827T,R827T,R827T,R827T,OPPO R827T,OPPO R827T,OPPO R827T,OPPO R827T
3c62e12c340af209ffb765ed8c355c8f,U5500,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02
c68e996550d9668fcf96eab33835f7d4,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02
64b10c208561e7f7eb7ec2c676e2876c,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,VT312A,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00
34e37f52d9976a3751f3cc9cddf15537,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,PE-TL10,PE-TL10
0297feaf397e1f9978fc92d5cab24f1c,Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),Honor 3C(CU),M571,M571,M571,M571
eeb6649e95bfa36e496db5171a696d8d,Y320-T00,Y320-T00,Y320-T00,Y320-T00,Y320-T00,Y320-T00,Y320-T00,Y320-T00,HUAWEI Y320-T00,HUAWEI Y320-T00,HUAWEI Y320-T00,HUAWEI Y320-T00
a6f72f201a207d001ec334f388b4bc22,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,MT7-TL10(Ascend Mate7),MT7-TL10(Ascend Mate7),HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10,A1586
26e1110d8776a5882c038af67c087599,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Lumia 720,H30-L02,H30-L02,H30-L02,H30-L02,H30-L02,H30-L02,H30-L02
26df932fc84b195b1c9fe8540d3e143c,Ascend P7,Ascend P7,Ascend P7,Ascend P7-L09(Ascend P7),Ascend P7-L09(Ascend P7),Ascend P7-L09(Ascend P7),Ascend P7-L09(Ascend P7),SM-W2014,SM-W2014,SM-G9250,SM-W2014,SM-W2014
5608f874d660e23e0ea94bb6916a75c5,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,Che1-CL20,Che1-CL20
9f6fd273ac42f68e12d06a8cbbbc2fce,U5500,U5500,U5500,U5500,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02
b55892074bc0852da4d9dc13405b780e,Pin-UL00,Pin-UL00,Pin-UL00,Pin-UL00,Pin-UL00,Pin-UL00,Pin-UL00,Pin-UL00,PE-UL00,PE-UL00,PE-UL00,PE-UL00
cfaa75dee9e5294fb28c908fa8aca188,T8951,T8951,vivo Y28L,vivo Y28L,vivo Y28L,vivo Y28L,vivo Y28L,vivo Y28L,vivo Y28L,vivo Y28L,vivo Y28L,vivo Y28L
2584069f93c5d8ab27e380673ee1e425,G620,G620,G620,G620,G620,G620,G620,G620,HUAWEI G620-L75,HUAWEI G620-L75,HUAWEI G620-L75,HUAWEI G620-L75
42814f72930506a07fd254061e65c061,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,HUAWEI G750-T00,HUAWEI G750-T00,HUAWEI G750-T00,HUAWEI G750-T00
6c52f4907e8862963ce9e030669960f0,G8600,G8600,G8600,G8600,G8600,G8600,G8600,G8600,HUAWEI A199,HUAWEI A199,HUAWEI A199,HUAWEI A199
e05b5807f267d79008731bce1cf8b52b,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,G520-0000,HUAWEI G520-0000,HUAWEI G520-0000,HUAWEI G520-0000,HUAWEI G520-0000
7404f273cd83fca90375fd12fb9f4393,Honor 3X,Honor 3X,Ascend Mate7,Ascend Mate7,Ascend Mate7,MT7-TL00(Ascend Mate7),MT7-TL00(Ascend Mate7),MT7-TL00(Ascend Mate7),HUAWEI MT7-TL00,HUAWEI MT7-TL00,HUAWEI MT7-TL00,HUAWEI MT7-TL00
b11b153f2c2a240d9e47992570f8e356,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,G610S/Ascend G610,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00,HUAWEI G610-U00
6f18ec9a6f8b301864c0e20c7e03b114,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,HUAWEI P6-U06
f0f316828b8f837925f29db8fe9387ce,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,Ascend G750,HUAWEI G750-T00,HUAWEI G750-T00,HUAWEI G750-T00,HUAWEI G750-T00
cb04f6af69f56388ae3f86c634e1a376,U5500,U5500,U5500,U5500,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,2015052,2015052
7b883d8be4c3ddc14fccc857b552fda0,E353,E353,E353,E353,E353,E353,E353,E353,E353,E353,E353,E353
866b748041211345dddcaedb85e363fc,MT2-L05(Mate 2),MT2-L05(Mate 2),MT2-L05(Mate 2),MT2-L05(Mate 2),MT2-L05(Mate 2),MT2-L05(Mate 2),MT2-L05(Mate 2),MT2-L05(Mate 2),HUAWEI MT2-L05,A1524,A1524,A1524
84513ed359984ba27ce6d64b2fee8544,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,G620S-UL00,Shine-UL00,Shine-UL00,CHM-UL00,CHM-UL00,CHM-UL00,CHM-UL00
0e663ef2b73d00eb9236508878713879,H30-L02,H30-L02,G9,G9,M463U(M1 Note),M463U(M1 Note),M463U(M1 Note),M463U(M1 Note),M463U,M463U,M463U,M463U
36be3aef53de1d1f88f7a28a30b4adf4,Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),HUAWEI G510-0010,HUAWEI G510-0010,HUAWEI G510-0010,HUAWEI G510-0010
869e802706d64ab1027d189bda14569e,P6-U06,P6-U06,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,A1530,A1530,A1530,A1530
145401763a505f239c709829e7a84733,U8860,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V,SM-G3586V
08f67fbc05fa5e628a8d1192f7b6c83f,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,G700-U00,HUAWEI G700-U00,HUAWEI G700-U00,HUAWEI G700-U00,HUAWEI G700-U00
2929b1187c731ce3905b8ef4328b05ff,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,HUAWEI P6-U06
21d42aec2b0753257c9090eb817655f5,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,Ascend Y330,HUAWEI G630-U00,HUAWEI G630-U00,HUAWEI G615-U10,HUAWEI G630-U00
e85431c82b157324c7018b04bff857e0,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,HUAWEI G750-T20,HUAWEI G750-T20,HUAWEI G750-T20,HUAWEI G750-T20
3e4c71a2a29827359a81a26ba3a89c4a,Ascend G510(G510-0010),5320d-1,Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),Ascend G510(G510-0010),HUAWEI G510-0010,HUAWEI G510-0010,HUAWEI G510-0010,HUAWEI G510-0010
e8918b9ca8b119c878ea032ff64b983a,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,Honor 3C,H30-L02,H30-L02,H30-L02,H30-L02
b935e627bae5f8cc3c3125ccb83c6671,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,Honor 3X,HUAWEI G750-T20,DAV-703L,DAV-703L,DAV-703L
d10411a269fb206ddf4c6693f06393e3,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,P6-U06,HUAWEI P6-U06,HUAWEI P6-U06,HUAWEI GRA-UL00,HUAWEI GRA-UL00
731c2058d4ed7a58949cabe4b8402742,C8813D,C8813D,C8813D,C8813D,C8813D,C8813D,C8813D,C8813D,HUAWEI C8813D,HUAWEI C8813D,HUAWEI C8813D,HUAWEI C8813D
6bdcde892422f746faec725eb0fd76cf,U8500,U8500,U8500,U8500,U8500,U8500,U8500,U8500,Letv X600,Letv X600,Letv X600,Letv X600
feabf76027b7e2cc2bc455be969ce017,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,Ascend Mate7,MT7-TL10(Ascend Mate7),MT7-TL10(Ascend Mate7),MT7-TL10(Ascend Mate7),HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10,HUAWEI MT7-TL10
15ea1940fab18db3db475a18365e03d6,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00
8604bc58fd821bffb781cd11a869f816,G8600,A199,GT-S5233A,GT-I8552(Galaxy Win),GT-I8552(Galaxy Win),GT-I8552(Galaxy Win),GT-I8552(Galaxy Win),GT-I8552(Galaxy Win),GT-I8552,GT-I8552,GT-I8552,GT-I8552
fcc4885a83fcf23f6e8df389ef5b5983,Ascend P7,Ascend P7,Ascend P7,Ascend P7,Ascend P7,iPhone 6 (A1586),iPhone 6 Plus (A1524),iPhone 6 (A1586),HUAWEI P7-L09,HUAWEI P7-L09,HUAWEI C8817L,HUAWEI C8817L
653a7aed12aff2b496a4abfe5673434e,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,G610-C00,HUAWEI G610-C00,HUAWEI G610-C00,HUAWEI G610-C00,HUAWEI G610-C00
607e86d0e698cf3872ce66681bdb15e6,VT312A,G6-U00,G6-U00,G6-U00,G6-U00,G6-U00,G6-U00,G6-U00,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00,HUAWEI G6-U00
8a8c44f85d2bd5dc00042b9535f3c60c,G660,G660,G660,G660,G660,G660,G660,G660,HUAWEI G660-L075,HUAWEI G660-L075,HUAWEI G660-L075,HUAWEI G660-L075
