IMSI,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12
350f8bcc75446ef107b59d5fdd2f6014,MI 2A,MI 2A,MI 2A,MI 4,MI 4,MI 4,MI 4,MI 4,2014616,2014616,2014616,2014616
3e0fa3e4c6a4eab52a6c51939e6798d1,MI 3W,GT-E1200M,GT-E1200M,iPhone 4,iPhone 4,iPhone 4,vivo S3+,vivo S3+,vivo S3+,vivo S3+,vivo S3+,vivo S3+
f6e58a9cd97f6131228412bab2c310ad,Redmi 1S,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,2013029,2013029,2013029,2013122
2bb82dbb6d9eb5ab20e543e330c39084,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2013023,2013023,2013023,2013023
95288ab06744a2d82fda848d99540eaa,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2013012,2014616,2014616,2014616
4a878ab09479b5324a18ea4c6464e083,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,2013029,2013029,2013029,2013029
e420c645151aad4d7b9cab6f193c37d2,MI 2013122,One SU(T528w),One SU(T528w),One SU(T528w),One SU(T528w),One SU(T528w),One SU(T528w),One SU(T528w),HTC T528w,HTC T528w,HTC T528w,HTC T528w
2ecc3e83c10a29c50a2900b661be7f43,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,NEOKA N818,vivo X5M,vivo X5M,vivo X5M
c7dbd01d3026a3b36d7d19150c32de16,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,2014011,2014011,2013122,2013122
72a50e8666fb3e19c5363778b04750f1,Redmi 1S,Redmi 1S,GT-S7278U,GT-S7278U,GT-S7278U,GT-S7278U,GT-S7278U,GT-S7278U,GT-S7278U,GT-S7278U,GT-S7278U,GT-S7278U
343fa9511faf90f9c3626e25e7ab090f,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,NX508J/NX509J/NX510J/NX511/NX512J,NX508J/NX509J/NX510J/NX511/NX512J,NX511J,NX511J,NX511J,NX511J
2d071f118c1d99e457e35fe098d8e117,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,S39h(Xperia C),S39h(Xperia C),S39h(Xperia C),2013012,2013012,2013012,2013012
e121febbead572d1bc0835ab7d593d75,MI 2013023,MI 2013023,MI 2013023,MI 2013023,Ascend P7,Ascend P7,Ascend P7,Ascend P7,HUAWEI G628-TL00,HUAWEI G628-TL00,HUAWEI G628-TL00,2015617
361464577780f6937b2b5b1311c7d4ab,MI 2S,MI 2S,T20,T20,T20,T20,T20,T20,OPPO R7 Plusm,OPPO R7 Plusm,OPPO R7 Plusm,OPPO R7 Plusm
c805b54becf68a9ab8f4e0aba1fd4c87,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,2013062,2013062,2013062,2013062
91ead921a60d5e713f50f64e30536c3c,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,1616,1616,1616,2014012,2014012,2013121,2013121
e0e3701b0489cc78ee41cbcb6d56c948,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2013012,2013012,2013012,2013012
031ba0f69f7f382ebde872a7f99401e4,MI 3S,MI 3S,LT28h,LT28h,LT28h,LT28h,LT28h,LT28h,LT28h,LT28h,PE-CL00,PE-CL00
fb73cc20632c4fa3641b6cea372dadef,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 4,2013012,2013012,2013012,2013012
1f8d030f1f1d9f5aa82353a972e65404,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2013012,2013012,2013012,2013012
f52ecc69ea6d7ad4ddeec8d065aae251,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2015021,2015021,2015021,2015021
ec27c4384fbcc3f7a8ce5b958b290353,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2014012,2014012,2013121,2013121
a41b1b9d5e86c8f7cbe7477602c7035d,H3,H3,H3,H3,H3,H3,H3,H3,2014021,2014021,2014021,2014021
91b5754c4ab0a6ff169814398a93bf61,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,2013029,2013029,2013029,2013029
2738384f123d82a56ada91b0ef6691f4,MI 2013029,MI 2013029,MI 2013029,H3X,H3X,H3X,H3X,H3X,2014910,2014910,2014910,2014910
e2e5daca170266c31743debe072ae0c8,MI 3C/MI 2S C,MI 3C/MI 2S C,MI 3C/MI 2S C,MI 3C/MI 2S C,MI 3C/MI 2S C,MI 3C/MI 2S C,MI 3C/MI 2S C,MI 3C/MI 2S C,2013063,2013063,2013021,2013063
1429de5615eadd3470f70e445d8a8a54,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,MI 2A,2014012,2014012,2013121,2013121
c6ff4616805b1b3ef2b4a2536433d568,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,Redmi Note/Redmi 1S,Redmi Note/Redmi 1S,2014018,2014018,2013029,2013121
ba75df8247b0182968b86d639bdae28f,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,2014215,2014215,2012121,2014215
17e13f3498d7ccc0313581bce20ab988,MI 3T,MI 3T,GT-I9152,GT-I9152,GT-I9152,GT-I9152,GT-I9152,GT-I9152,GT-I9152,GT-I9152,GT-I9152,GT-I9152
01887a70b5013eb327af0ce5280cdc68,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,ST18i,2014616,2014616,2014616
17e681697c78c68bdc5669aaca511d77,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,2013062,2013062,2013012,2013012
65137356dc918272293ec0c4df7ea068,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,2014022,2014022,2014022,2014022
51200cf45ff596d141e2b32bc5fed77a,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2014811,2014811,2014811,2014811
a44e3dc2cc10cbd6ac544e1859b9c339,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,2013062,2013062,2013062,2013062
9c3536e05067ca85bfcbb2a2d2bab914,MI 3W,MI 3W,MI 3W,MI 3W,vivo E1t,MI 3W,MI 3W,MI 3W,2013062,vivo E1t,vivo E1t,2013062
c78f5632e809c5a29346ccbb4c86b9ec,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,2012121
2df3cc8908bee7e7a1b968cef6adae78,MI 2014021,MI 2014021,Redmi Note(CU),S663,Redmi Note(CU),Redmi Note(CU),Redmi Note(CU),Redmi Note(CU),2014021,2014021,2014021,2014021
fc4ceecc3d38c26d0edef171294ae6fb,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,2013062,2013062,2013062,2013062
0a98cc88280d47476c3cbb3667e2cd51,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,2014215,2014215,2012121,2014215
57e3ba05989caf75cf3db0cf034c6548,MI 4,MI 4,MI 4,MI 4,MI 4,MI 4,MI 4,MI 4,2014719,2014719,2014719,2014719
5e1a57e1629c9e1588688ef83ca9ced1,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012061,2012061,2012061,2012061
fc9d16d65513f170ba82185b4088eb32,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2013023,2013023,2013023,2013023
98c10485fe3c4927ef4c042184d2d4cb,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,2013029,2013029,2013029,2015712
d9cf08df7feea81a4233ebddda7a3e51,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013012,2013012,2013012,2013012
19254e7e316cd7903d58dc3d02e38a9b,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,2014021,2014021,2014021,2014021
a59bc984efed3cddf69d8741756027a3,MI 2A(CT),MI 2A(CT),MI 2A(CT),MI 4,MI 4,MI 4,MI 4,MI 4,2014616,2014616,2014616,2014616
a1d0baab1df546cde195c738eb593078,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2013029,2013029,2013029,2013029
5c70af84c29ffe457415243de9a486f2,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,Redmi 3,2014022,2014022,2014022,2014022
081a042fe2667eb18b488749828f0273,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2013029,2013029,2013029,2013029
63c16219713334f8315cc78f678a38ec,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,2015021
0a5d4a3ee759efff3729942306316ece,MI 2013023,iPhone 5,iPhone 5,iPhone 5,iPhone 5,iPhone 5,iPhone 5,iPhone 5,A1429,A1429,A1429,A1429
690616f45aae563697605c8e2e2796c6,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,2014218,2014218,2013021,2014218
c7b7066693cf5e25ffcab9f097cf6b20,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013012,2014616,2014616,2014616
c357f7da74ed70ce127785f2771eb722,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,OPPO R8200,OPPO R8200,OPPO 1100,OPPO R8200
fdd32544d2a938e8f1f92983e56b9710,Redmi Note/MI 3S/Redmi,Redmi Note/MI 3S/Redmi,Redmi Note/MI 3S/Redmi,Redmi Note/MI 3S/Redmi,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02
8cdb2c503dbae14157209d1ea3167bd9,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,2014018,2014018,2013029,2013121
c7d3944c0b8c2c43ad3ff2dee2a85e57,MI 4,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,MI 2014021,2014021,2014021,2014021,PYK1
dce806999b1efce698f58618104593ad,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,MI 2013029,2013029,2013029,2013029,2013029
5f504e2453e3146348321bb4cdf3a060,MI 2S,MI 2S,iPhone 5,iPhone 5,iPhone 5,iPhone 5,iPhone 5,iPhone 5,A1429,A1429,A1429,A1429
3092caa33d38eb5cfd9de344d7567311,MI 2,MI 2,MI 2,MI 2,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02,H60-L02
e2995446789241a2c8c2daab272b67ec,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,GiONEE M3S,GiONEE M3S,GiONEE M3S,GiONEE M3S
847ace110e827748fabc4e5173ee5653,MI 2S,V987,V987,V987,V987,V987,V987,V987,2013012,2013012,2013012,2013012
0038498cd5ca176140fc594bef786fbb,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012061,2012061,2012061,2012061
01e0198f2cac686296b8471ef380ea74,MI 3,M350,M350,M350,M350,M350,M350,M350,vivo X5S L,vivo X5S L,vivo X5S L,vivo X5S L
58d5ed1beb0f4839fe97dd790dce313e,Redmi 1s/H2X,Redmi 1s/H2X,Redmi 1s/H2X,Redmi 1s/H2X,Redmi 1s/H2X,Redmi 1s/H2X,Redmi 1s/H2X,Redmi 1s/H2X,2014813,2014813,2014501,2014501
d0805e02450b284886e334e3c45fcea5,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,2014018,2014018,2013029,2013121
c5bebad88d409c5c77a87ff26b6cf1b9,MI 2,MI 2,MI 2,MI 2,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00,G621-TL00
45ec0b04cc576d7cc94bb90e2b097c61,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2013023,2013023,2013023,2013023
c5b94d55ffa946a6d4dc67e5fd2dd651,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012052,2012052,2012121,SM-G7106
9b86a3ceb3d4b07019469feb2c8a7d24,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,Redmi  3LTE,MI 4,MI 4,MI 4,2014719,2014719,2014719,2014719
4b17a6064accee98610abc9be3e88fbb,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,2015561
8872aafebd7345786ad3bee8c389acac,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013012,2013012,2013012,2013012
aa4469f7cd25a0f25f225244b1b532de,MI 2013029,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,iPhone 5S,A1530,A1530,A1530,A1530
282dff3cb818c19eb056ad86ede7d5d1,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2014719,2014719,2014719,2014719
c7051915d522f1e743c51638ed9b399f,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013012,2013012,2013012,2013012
3ec7993993b6d67f4a7c0d67ad79fa5b,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,SM-A7000,SM-A7000,SM-A7000,2013012
a502e38df68960da616941b540160f08,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note/Redmi 1S,Redmi Note/Redmi 1S,Redmi Note/Redmi 1S,2014018,2014018,A1528,A1528
702c02143ac41d043e0af36a8536cd37,MI 2013029,MI 2013029,MI 2013029,T20,T20,T20,T20,T20,HYUNDAI T20,HYUNDAI T20,HYUNDAI T20,HYUNDAI T20
43105d2297a8b5fea9e22f0b3aad8f5d,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,Redmi Note,2014018,2014018,2013029,2013121
6cef46af9ea3462790f588cbfa76ca2d,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,MI 3W,2013062,2013062,2013062,2013062
6a90f8bf34d20d55f0e927189306b6dd,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013012,2013012,2013012,2013012
f0e8198c33f168bb80b6cc7544ec7d93,MI 2013023,MI 2013023,MI 2013023,MI 2013023,GT-N7102,GT-N7102,GT-N7102,GT-N7102,GT-N7102,GT-N7102,GT-N7102,GT-N7102
db5d92be7b1ea4c81cbfe4198cbc9747,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2013022,2013022,2013022,2013022
0e5636f559513b72413adeee6ffaa2e6,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,MI 2013023,2013023,2013023,2013023,2013023
5cdd1d8a67af86a605bd282d9fb0f3b6,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,MI 3S,2014215,2014215,2012121,2014215
4a6bb4906d83b221327b550189b2c94c,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013062,2013062,2013012,2013062
20a01c7a8150dbfc40e552cdc0800820,H3,H3,H3,H3,H3,H3,H3,H3,2014021,2014021,2014021,2014021
b9d92ba348f0cd7083c4271bbb59d3a2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2013022,2013022,2013022,2013022
66d32cf8a52e8c4276c4c703b8953702,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013062,2013062,2013012,2013062
722269944e95942a1b54f11c5027473c,MI 2A(CT),MI 2A(CT),MI 2A(CT),MI 2A(CT),MI 2A(CT),MI 2A(CT),MI 2A(CT),MI 2A(CT),2013021,2013021,2013021,2013021
beedc2c58edb037b571fb58d014d8832,MI-ONE S,MI-ONE S,MI-ONE S,MI-ONE S,MI-ONE S,MI-ONE S,MI-ONE S,MI-ONE S,2012051,2012051,2012051,2012051
216def2c4481d01d156526fd7ad23fb0,MI 2S,MI 2S,MI 2S,MI 2S,iPhone 6 Plus (A1524),iPhone 6 Plus (A1524),iPhone 6 Plus (A1524),iPhone 6 Plus (A1524),A1524,A1524,A1524,A1524
cf2359626c688400bacbc7b518a4e799,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2013029,2013029,2013029,2013029
c7a5411e192f68ee22c7d34a44f8f033,MI 4,Sensation XE(G18)(Z715e)(PG58130),Sensation XE(G18)(Z715e)(PG58130),Sensation XE(G18)(Z715e)(PG58130),Sensation XE(G18)(Z715e)(PG58130),Sensation XE(G18)(Z715e)(PG58130),Sensation XE(G18)(Z715e)(PG58130),Sensation XE(G18)(Z715e)(PG58130),PG58130,PG58130,PG58130,PG58130
fb14ce196b54d9853c62ebee62c40938,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,MI 2S,2013062,2013062,2013012,2013062
f6f67a39ff9e67736dec78f133382186,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2012121,2012121,2012121,2012121
474fcc53e35cef3956b594a19fa98a49,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,MI 2,2013022,2013022,2013022,HUAWEI Y518-T00
2a21eef6dd5c9187c38725d7ffa326e3,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,Redmi 1S,2013029,2013029,2013029,2013029
1d293a4ddbe5d6b2a5de25ff75813069,MI 2S,MI 2S,H3,H3,H3,H3,H3,H3,2014021,2014021,2014021,2014021
